num_voters,num_projects,version,setup,predictor,sample_degree,lv_degree,seed,k,num_tv,precision,recall,f1,fractional_allocation,symmetric_distance,pipeline_runtime,runtime
100,30,after,offline_popularity,classification,0.5,0.5,2,10,75,0.636897657897658,0.5717117697117696,0.5904666382360554,0.7302964569775849,6,4.7185466860000815,4.7448264839999865
100,40,before,offline_popularity,classification,0.5,0.5,0,13,75,0.6487959752665635,0.5932907419378007,0.6091863352577183,0.8566598059394296,4,14.956876837999971,14.985536235999916
100,40,before,offline_popularity,classification,0.5,0.5,1,13,75,0.6385434565434565,0.5109961334961335,0.5470660225960056,0.9368564506359782,4,14.85717447099978,14.923867667000195
100,40,before,offline_popularity,classification,0.5,0.5,2,13,75,0.6841351981351982,0.637936485083544,0.6502676375677872,0.8319207010486999,5,17.433901307999804,17.463361481999982
100,40,after,offline_popularity,classification,0.5,0.5,0,13,75,0.6487959752665635,0.5932907419378007,0.6091863352577183,0.8566598059394296,4,7.911978933999762,7.940591539000252
100,40,after,offline_popularity,classification,0.5,0.5,1,13,75,0.6166892736892737,0.5254103859103859,0.5504995055825105,0.9368564506359782,4,8.204610228000092,8.24494510600016
100,40,after,offline_popularity,classification,0.5,0.5,2,13,75,0.6841351981351982,0.637936485083544,0.6502676375677872,0.8319207010486999,5,6.393857520999973,6.433024292000027
100,60,before,offline_popularity,classification,0.5,0.5,0,20,75,0.6800429466760737,0.6070942708249211,0.6363989052231722,0.9079604425731911,3,32.35255277799979,32.42157957800009
100,60,before,offline_popularity,classification,0.5,0.5,1,20,75,0.644731015401294,0.6250782716309031,0.6269025380132517,0.8487884674368674,5,14.11254057899987,14.140559475999908
100,60,before,offline_popularity,classification,0.5,0.5,2,20,75,0.6777502928663246,0.628948986504041,0.6439820196185818,0.8591942148760331,5,15.052511627000058,15.082212973999958
100,60,after,offline_popularity,classification,0.5,0.5,0,20,75,0.6800429466760737,0.6070942708249211,0.6363989052231722,0.9079604425731911,3,7.666379706000043,7.698328250000031
100,60,after,offline_popularity,classification,0.5,0.5,1,20,75,0.6410982324635576,0.617840176392808,0.6218153825603193,0.8487884674368674,5,6.774088494999887,6.822647399999823
100,60,after,offline_popularity,classification,0.5,0.5,2,20,75,0.668584670620207,0.6274776313484753,0.6392562641999577,0.8591942148760331,5,4.873284870000134,4.905845113000396
100,80,before,offline_popularity,classification,0.5,0.5,0,27,75,0.6964446545873924,0.6312542101909647,0.6581351132721189,0.8847873926315042,7,19.27231572799974,19.308266026999718
100,80,before,offline_popularity,classification,0.5,0.5,1,27,75,0.6961221969784585,0.6008421947974049,0.6389123315582563,0.8796219905497638,8,19.20115135700007,19.234664135000003
100,80,before,offline_popularity,classification,0.5,0.5,2,27,75,0.6428224387698072,0.5495050086013653,0.5837097589468246,0.9348567283278927,5,16.996058358000028,17.029420358999687
100,80,after,offline_popularity,classification,0.5,0.5,0,27,75,0.6853622607879102,0.6318614293416128,0.6531800103022021,0.8186271030027685,10,10.054496325999935,10.08882673900007
100,80,after,offline_popularity,classification,0.5,0.5,1,27,75,0.6961221969784585,0.6008421947974049,0.6389123315582563,0.8796219905497638,8,8.096648709999954,8.136179855000137
100,80,after,offline_popularity,classification,0.5,0.5,2,27,75,0.6428224387698072,0.5495050086013653,0.5837097589468246,0.9348567283278927,5,5.259332233999885,5.2924240339998505
100,120,before,offline_popularity,classification,0.5,0.5,0,40,75,0.6895160340549918,0.6671557735887681,0.6737445283848544,0.9612485504445304,3,27.401465387999906,27.459092674000203
100,120,before,offline_popularity,classification,0.5,0.5,1,40,75,0.7075951698158491,0.6452259582916456,0.6719739591514293,0.929175731206188,7,32.161321942000086,32.207342416999836
